Point ID,Points_0,Points_1,Points_2,Points_Magnitude,psi
202,3.062557609e-01,-9.426816846e+00,0.000000000e+00,9.431790309e+00,-8.610260810e-02
203,3.646982786e+00,-1.363556207e+01,0.000000000e+00,1.411485163e+01,-8.610260810e-02
204,3.354720822e+00,-1.382989701e+01,0.000000000e+00,1.423095932e+01,-8.610260810e-02
205,3.327001566e+00,-1.386212846e+01,0.000000000e+00,1.425578987e+01,-8.610260810e-02
206,1.072744722e+01,1.001375278e+01,0.000000000e+00,1.467492313e+01,1.230720951e+01
207,1.037109271e+01,9.799965858e+00,0.000000000e+00,1.426880846e+01,1.230720951e+01
208,9.105204624e+00,-2.466762936e+00,0.000000000e+00,9.433433661e+00,1.230720951e+01
209,8.936492777e+00,-2.621792183e+00,0.000000000e+00,9.313146482e+00,1.230720951e+01
210,8.018375028e+00,-3.434913262e+00,0.000000000e+00,8.723128292e+00,1.230720951e+01
211,7.916097832e+00,-3.530710728e+00,0.000000000e+00,8.667786518e+00,1.230720951e+01
212,1.008286012e+01,-1.230214474e+01,0.000000000e+00,1.590618853e+01,1.230720951e+01
213,1.015072960e+01,-1.236252343e+01,0.000000000e+00,1.599591501e+01,1.230720951e+01
214,1.179290150e+01,1.067507942e+01,0.000000000e+00,1.590691191e+01,1.230720951e+01
215,1.150635002e+01,1.049094221e+01,0.000000000e+00,1.557099738e+01,1.230720951e+01
216,1.128452144e+01,1.035820025e+01,0.000000000e+00,1.531772622e+01,1.230720951e+01
217,1.186818467e+01,1.071955457e+01,0.000000000e+00,1.599258133e+01,1.230720951e+01
218,3.421653064e-01,-1.004111661e+01,0.000000000e+00,1.004694481e+01,-8.610260810e-02
219,3.386719375e-01,-9.938346573e+00,0.000000000e+00,9.944115410e+00,-8.610260810e-02
220,2.791965923e+00,-1.416247136e+01,0.000000000e+00,1.443505001e+01,-8.610260810e-02
221,2.723972071e+00,-1.421317828e+01,0.000000000e+00,1.447185063e+01,-8.610260810e-02
222,9.399093844e+00,3.112123023e+00,0.000000000e+00,9.900922927e+00,1.230720951e+01
223,9.544562721e+00,2.735499556e+00,0.000000000e+00,9.928828499e+00,1.230720951e+01
224,9.546021149e+00,2.731689109e+00,0.000000000e+00,9.929181495e+00,1.230720951e+01
225,9.078514555e+00,9.026677350e+00,0.000000000e+00,1.280235644e+01,1.230720951e+01
226,8.998963065e+00,8.975880544e+00,0.000000000e+00,1.271014429e+01,1.230720951e+01
227,8.614475526e+00,8.715680538e+00,0.000000000e+00,1.225447983e+01,1.230720951e+01
228,8.507986301e+00,8.647242482e+00,0.000000000e+00,1.213097826e+01,1.230720951e+01
229,2.961239821e-01,-9.079032739e+00,0.000000000e+00,9.083860682e+00,-8.610260810e-02
230,2.922449455e-01,-8.918727698e+00,0.000000000e+00,8.923514490e+00,-8.610260810e-02
231,9.712009512e+00,-1.194203471e+01,0.000000000e+00,1.539270352e+01,1.230720951e+01
232,9.834187072e+00,-1.206215454e+01,0.000000000e+00,1.556299481e+01,1.230720951e+01
233,9.957938172e+00,-1.218471246e+01,0.000000000e+00,1.573619237e+01,1.230720951e+01
234,9.648908151e+00,-1.188420725e+01,0.000000000e+00,1.530803092e+01,1.230720951e+01
235,9.678557865e+00,-1.191164406e+01,0.000000000e+00,1.534802093e+01,1.230720951e+01
236,8.887184548e-01,-1.293993016e+01,0.000000000e+00,1.297041298e+01,-8.610260810e-02
237,9.477788524e-01,-1.304442916e+01,0.000000000e+00,1.307881557e+01,-8.610260810e-02
238,2.055569613e+00,-1.440013305e+01,0.000000000e+00,1.454610595e+01,-8.610260810e-02
239,2.352760296e+00,-1.434313199e+01,0.000000000e+00,1.453481739e+01,-8.610260810e-02
240,2.625852040e+00,-1.428331328e+01,0.000000000e+00,1.452267666e+01,-8.610260810e-02
241,1.076162648e+01,1.003535838e+01,0.000000000e+00,1.471465332e+01,1.230720951e+01
242,1.075229521e+01,1.002910994e+01,0.000000000e+00,1.470356755e+01,1.230720951e+01
243,1.113748506e+01,1.026192867e+01,0.000000000e+00,1.514433074e+01,1.230720951e+01
244,2.418769823e-01,-6.588956945e+00,0.000000000e+00,6.593395036e+00,-8.610260810e-02
245,2.408738388e-01,-6.399902055e+00,0.000000000e+00,6.404433349e+00,-8.610260810e-02
246,2.793086077e-01,-7.122756826e+00,0.000000000e+00,7.128231064e+00,-8.610260810e-02
247,2.791170332e-01,-7.113227714e+00,0.000000000e+00,7.118701766e+00,-8.610260810e-02
248,1.026446379e+01,9.743465910e+00,0.000000000e+00,1.415253846e+01,1.230720951e+01
249,9.956430138e+00,9.548603458e+00,0.000000000e+00,1.379515600e+01,1.230720951e+01
250,9.676238887e+00,9.395326595e+00,0.000000000e+00,1.348709609e+01,1.230720951e+01
251,9.571923858e+00,9.328012727e+00,0.000000000e+00,1.336538618e+01,1.230720951e+01
252,1.010297050e+01,1.151858904e+00,0.000000000e+00,1.016842131e+01,1.230720951e+01
253,1.016934000e+01,9.100765881e-01,0.000000000e+00,1.020998117e+01,1.230720951e+01
254,1.018068001e+01,8.571124327e-01,0.000000000e+00,1.021669649e+01,1.230720951e+01
255,1.022737034e+01,6.497401639e-01,0.000000000e+00,1.024798840e+01,1.230720951e+01
256,3.030434090e+00,-1.405026586e+01,0.000000000e+00,1.437336082e+01,-8.610260810e-02
